Trajectory Recorded at ,Fri Dec 18 17:07:18 2020,Duration: 62.1581s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Extra Data,Extra Data
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,name,value
1608307638,987334839,0.964422,-1.78792,-1.6346,0.29999,1.63287,0.157751,0,-0,-0,0,0,-1.19886e-05,,0
1608307638,989323430,0.964422,-1.78794,-1.6346,0.300002,1.63286,0.157763,0,-0,-0,0,0,-2.24857e-05,,0
1608307638,991319895,0.964434,-1.78791,-1.6346,0.299978,1.63289,0.157703,0,-0,-0,0,0,-2.33435e-05,,0
1608307638,993325603,0.964434,-1.78791,-1.63458,0.29999,1.63286,0.157763,0,-0,-0,0,0,-1.26738e-05,,0
1608307638,995328776,0.964446,-1.78793,-1.6346,0.299978,1.63287,0.157739,0,-0,-0,0,0,-1.13933e-05,,0
1608307638,997340214,0.964422,-1.78794,-1.63458,0.300002,1.63284,0.157787,0,-0,-0,0,0,-1.12401e-05,,0
1608307638,999332851,0.964422,-1.78792,-1.63458,0.300002,1.63286,0.157763,0,-0,-0,0,0,-1.11014e-05,,0
1608307639,1325275,0.964458,-1.78789,-1.6346,0.300026,1.63286,0.157751,0,-0,-0,0,0,-1.09661e-05,,0
1608307639,3313307,0.96441,-1.78795,-1.63459,0.300026,1.63288,0.157739,0,-0,-0,0,0,-1.08341e-05,,0
1608307639,5327295,0.964422,-1.78791,-1.63457,0.300002,1.63284,0.157739,0,-0,-0,0,0,-1.07052e-05,,0
1608307639,7319955,0.964446,-1.78793,-1.6346,0.300014,1.63284,0.157727,0,-0,-0,0,0,-1.05794e-05,,0
1608307639,9318301,0.964398,-1.78793,-1.63458,0.300002,1.63287,0.157751,0,-0,-0,0,0,-1.04565e-05,,0
1608307639,11339750,0.964446,-1.78794,-1.6346,0.299978,1.63287,0.157763,0,-0,-0,0,0,-1.03364e-05,,0
1608307639,13355148,0.964446,-1.78788,-1.63459,0.299978,1.63287,0.157739,0,-0,-0,0,0,-1.0219e-05,,0
1608307639,15351583,0.96441,-1.78789,-1.6346,0.300038,1.63282,0.157751,0,-0,-0,0,0,-1.01043e-05,,0
1608307639,17352159,0.964422,-1.78793,-1.63459,0.300026,1.63284,0.157739,0,-0,-0,0,0,-9.99214e-06,,0
1608307639,19335355,0.964422,-1.78793,-1.63457,0.300026,1.63287,0.157715,0,-0,-0,0,0,-9.81529e-07,,0
1608307639,21337354,0.964422,-1.78789,-1.63459,0.300026,1.63286,0.157775,0,-0,-0,0,0,-9.57639e-09,,0
1608307639,23342611,0.964446,-1.78788,-1.6346,0.300014,1.63281,0.157751,0,-0,-0,0,0,-9.34331e-11,,0
1608307639,25345915,0.96441,-1.78789,-1.63454,0.300014,1.63281,0.157751,0,-0,-0,0,0,-9.1159e-13,,0
1608307639,27325550,0.964458,-1.78788,-1.6346,0.29999,1.63284,0.157703,0,-0,-0,0,0,-8.89402e-15,,0
1608307639,29345312,0.964434,-1.78792,-1.63462,0.299978,1.63284,0.157763,0,-0,-0,0,0,-8.67755e-17,,0
1608307639,31962017,0.964458,-1.78792,-1.63454,0.300002,1.63286,0.157787,0,-0,-0,0,0,-8.46634e-19,,0
1608307639,33341166,0.964434,-1.78793,-1.63459,0.300002,1.63287,0.157775,0,-0,-0,0,0,-8.26028e-21,,0
1608307639,35340774,0.964458,-1.78794,-1.63462,0.300014,1.63286,0.157775,0,-0,-0,0,0,-8.05923e-23,,0
1608307639,37333548,0.964422,-1.78789,-1.63459,0.300002,1.63284,0.157787,0,-0,-0,0,0,-7.86307e-25,,0
1608307639,39381541,0.964422,-1.78792,-1.63458,0.300002,1.63282,0.157739,0,-0,-0,0,0,-7.67169e-27,,0
1608307639,41332612,0.964434,-1.78789,-1.63458,0.300002,1.63283,0.157787,0,-0,-0,0,0,-7.48497e-29,,0
